city,global_index
manhattan,34580
manhattan,6570
manhattan,16732
manhattan,55381
manhattan,50189
manhattan,42881
manhattan,23799
manhattan,54846
manhattan,15443
manhattan,36804
manhattan,38781
manhattan,55367
manhattan,3878
manhattan,34860
manhattan,25486
manhattan,8177
manhattan,11647
manhattan,49551
manhattan,37301
manhattan,28779
manhattan,19953
manhattan,28569
manhattan,41780
manhattan,54360
manhattan,27786
manhattan,38185
manhattan,25119
manhattan,9998
manhattan,41510
manhattan,44905
manhattan,33038
manhattan,17005
manhattan,13482
manhattan,19005
manhattan,9207
manhattan,19004
manhattan,12950
manhattan,52398
manhattan,8599
manhattan,26648
manhattan,26344
manhattan,7569
manhattan,9008
manhattan,36944
manhattan,25139
manhattan,54336
manhattan,55320
manhattan,5783
manhattan,4264
manhattan,31068
manhattan,20832
manhattan,46466
manhattan,14734
manhattan,3968
manhattan,371
manhattan,38779
manhattan,53000
manhattan,32175
manhattan,51028
manhattan,41676
manhattan,9650
manhattan,42140
manhattan,53446
manhattan,22600
manhattan,30104
manhattan,4840
manhattan,11560
manhattan,9774
manhattan,45138
manhattan,15704
manhattan,46892
manhattan,38243
manhattan,12715
manhattan,34353
manhattan,39383
manhattan,10247
manhattan,31143
manhattan,3241
manhattan,37959
manhattan,30961
manhattan,33652
manhattan,45966
manhattan,14093
manhattan,46834
manhattan,14555
manhattan,36586
manhattan,3105
manhattan,42869
manhattan,27571
manhattan,38948
manhattan,33966
manhattan,5374
manhattan,50475
manhattan,17949
manhattan,19384
manhattan,37129
manhattan,29326
manhattan,52552
manhattan,28453
manhattan,21234
manhattan,12070
manhattan,14777
manhattan,6013
manhattan,53653
manhattan,33009
manhattan,12242
manhattan,37766
manhattan,15413
manhattan,30944
manhattan,52544
manhattan,20340
manhattan,43156
manhattan,7070
manhattan,263
manhattan,12247
manhattan,53914
manhattan,5282
manhattan,18679
manhattan,34619
manhattan,17254
manhattan,39830
manhattan,45353
manhattan,3626
manhattan,14273
manhattan,31181
manhattan,33651
manhattan,46603
manhattan,9286
manhattan,23293
manhattan,46343
manhattan,48723
manhattan,40343
manhattan,19591
manhattan,22336
manhattan,23207
manhattan,11926
manhattan,2791
manhattan,9592
manhattan,522
manhattan,40716
manhattan,41943
manhattan,464
manhattan,28137
manhattan,42883
manhattan,6138
manhattan,40747
manhattan,27593
manhattan,51636
manhattan,52838
manhattan,3233
manhattan,36806
manhattan,27676
manhattan,9242
manhattan,9799
manhattan,111
manhattan,40934
manhattan,40069
manhattan,23698
manhattan,29122
manhattan,51880
manhattan,30997
manhattan,22369
manhattan,25160
manhattan,42241
manhattan,19357
manhattan,32536
manhattan,10461
manhattan,19287
manhattan,30153
manhattan,52227
manhattan,53924
manhattan,18856
manhattan,2891
manhattan,3382
manhattan,32061
manhattan,52076
manhattan,53506
manhattan,50770
manhattan,17514
manhattan,24127
manhattan,38690
manhattan,45428
manhattan,2084
manhattan,12752
manhattan,2726
manhattan,25671
manhattan,22726
manhattan,1548
manhattan,4835
manhattan,39428
manhattan,27151
manhattan,13277
manhattan,14257
manhattan,24086
manhattan,32927
manhattan,20966
manhattan,48455
manhattan,30437
manhattan,4081
manhattan,54037
manhattan,41850
manhattan,42168
manhattan,36505
manhattan,22467
manhattan,29816
manhattan,10680
manhattan,45873
manhattan,26204
manhattan,28273
manhattan,34579
manhattan,16497
manhattan,36813
manhattan,17595
manhattan,44073
manhattan,23858
manhattan,8626
manhattan,24914
manhattan,19352
manhattan,14300
manhattan,8162
manhattan,5141
manhattan,26523
manhattan,45646
manhattan,18825
manhattan,7305
manhattan,5565
manhattan,37812
manhattan,46134
manhattan,41955
manhattan,9883
manhattan,18714
manhattan,32638
manhattan,42688
manhattan,916
manhattan,24259
manhattan,14904
manhattan,16064
manhattan,46368
manhattan,19183
manhattan,42834
manhattan,45958
manhattan,48121
manhattan,54534
manhattan,54921
manhattan,55759
manhattan,15505
manhattan,47238
manhattan,13
manhattan,53320
manhattan,37758
manhattan,7199
manhattan,16973
manhattan,41050
manhattan,37701
manhattan,11225
manhattan,44562
manhattan,24887
manhattan,37810
manhattan,30532
manhattan,26873
manhattan,38998
manhattan,45540
manhattan,36752
manhattan,36046
manhattan,19373
manhattan,9728
manhattan,50529
manhattan,6201
manhattan,579
manhattan,49950
manhattan,20664
manhattan,11725
manhattan,50028
manhattan,27801
manhattan,37724
manhattan,31510
manhattan,16496
manhattan,16725
manhattan,50229
manhattan,20231
manhattan,21655
manhattan,38834
manhattan,41792
manhattan,43552
manhattan,16361
manhattan,49316
manhattan,12295
manhattan,29116
manhattan,25445
manhattan,38135
manhattan,50929
manhattan,43028
manhattan,55711
manhattan,40015
manhattan,28895
manhattan,22289
manhattan,14088
manhattan,42211
manhattan,46469
manhattan,40651
manhattan,52685
manhattan,36556
manhattan,41644
manhattan,16881
manhattan,33163
manhattan,55069
manhattan,37936
manhattan,28908
manhattan,46243
manhattan,5479
manhattan,35643
manhattan,7200
manhattan,53303
manhattan,25391
manhattan,23319
manhattan,19956
manhattan,19641
manhattan,18231
manhattan,17075
manhattan,40950
manhattan,42736
manhattan,2992
manhattan,12867
manhattan,32547
manhattan,5180
manhattan,24662
manhattan,33963
manhattan,54477
manhattan,49296
manhattan,3654
manhattan,37077
manhattan,41895
manhattan,35015
manhattan,34775
manhattan,28795
manhattan,33049
manhattan,40786
manhattan,35490
manhattan,22885
manhattan,31545
manhattan,21699
manhattan,51798
manhattan,4517
manhattan,25274
manhattan,29789
manhattan,34409
manhattan,8812
manhattan,20879
manhattan,32607
manhattan,44545
manhattan,55375
manhattan,21256
manhattan,37966
manhattan,43099
manhattan,50336
manhattan,44364
manhattan,49895
manhattan,667
manhattan,44208
manhattan,11680
manhattan,40480
manhattan,50891
manhattan,3263
manhattan,50474
manhattan,37690
manhattan,2863
manhattan,47388
manhattan,25058
manhattan,49741
manhattan,28002
manhattan,17342
manhattan,38807
manhattan,30133
manhattan,29607
manhattan,19033
manhattan,40269
manhattan,22305
manhattan,20112
manhattan,23665
manhattan,33098
manhattan,38652
manhattan,53472
manhattan,23819
manhattan,1152
manhattan,9979
manhattan,8558
manhattan,31339
manhattan,6419
manhattan,47454
manhattan,23477
manhattan,46754
manhattan,5529
manhattan,53718
manhattan,48022
manhattan,5683
manhattan,4177
manhattan,18547
manhattan,17207
manhattan,8148
manhattan,27302
manhattan,49751
