city,global_index
manhattan,0
manhattan,1
manhattan,2
manhattan,3
manhattan,4
manhattan,5
manhattan,6
manhattan,7
manhattan,14
manhattan,16
manhattan,17
manhattan,19
manhattan,20
manhattan,21
manhattan,24
manhattan,25
manhattan,26
manhattan,27
manhattan,28
manhattan,29
manhattan,30
manhattan,31
manhattan,32
manhattan,33
manhattan,34
manhattan,35
manhattan,36
manhattan,37
manhattan,39
manhattan,41
manhattan,42
manhattan,43
manhattan,44
manhattan,46
manhattan,47
manhattan,48
manhattan,50
manhattan,53
manhattan,54
manhattan,55
manhattan,56
manhattan,57
manhattan,58
manhattan,59
manhattan,60
manhattan,61
manhattan,62
manhattan,63
manhattan,65
manhattan,66
manhattan,67
manhattan,69
manhattan,70
manhattan,71
manhattan,72
manhattan,73
manhattan,74
manhattan,75
manhattan,78
manhattan,79
manhattan,80
manhattan,82
manhattan,83
manhattan,84
manhattan,85
manhattan,87
manhattan,89
manhattan,90
manhattan,92
manhattan,94
manhattan,96
manhattan,97
manhattan,98
manhattan,99
manhattan,100
manhattan,101
manhattan,103
manhattan,104
manhattan,105
manhattan,106
manhattan,107
manhattan,108
manhattan,109
manhattan,110
manhattan,115
manhattan,117
manhattan,118
manhattan,120
manhattan,121
manhattan,122
manhattan,123
manhattan,124
manhattan,125
manhattan,126
manhattan,128
manhattan,129
manhattan,130
manhattan,131
manhattan,132
manhattan,133
manhattan,135
manhattan,137
manhattan,138
manhattan,139
manhattan,140
manhattan,142
manhattan,143
manhattan,144
manhattan,145
manhattan,146
manhattan,148
manhattan,149
manhattan,150
manhattan,152
manhattan,154
manhattan,155
manhattan,157
manhattan,158
manhattan,159
manhattan,161
manhattan,162
manhattan,165
manhattan,166
manhattan,168
manhattan,169
manhattan,170
manhattan,171
manhattan,172
manhattan,174
manhattan,175
manhattan,176
manhattan,177
manhattan,178
manhattan,179
manhattan,180
manhattan,182
manhattan,183
manhattan,184
manhattan,185
manhattan,186
manhattan,188
manhattan,189
manhattan,190
manhattan,191
manhattan,193
manhattan,195
manhattan,196
manhattan,197
manhattan,198
manhattan,199
manhattan,202
manhattan,205
manhattan,206
manhattan,208
manhattan,209
manhattan,210
manhattan,211
manhattan,212
manhattan,214
manhattan,216
manhattan,217
manhattan,219
manhattan,220
manhattan,221
manhattan,223
manhattan,226
manhattan,227
manhattan,228
manhattan,230
manhattan,231
manhattan,232
manhattan,235
manhattan,236
manhattan,240
manhattan,241
manhattan,242
manhattan,245
manhattan,246
manhattan,249
manhattan,250
manhattan,251
manhattan,252
manhattan,253
manhattan,255
manhattan,256
manhattan,257
manhattan,258
manhattan,259
manhattan,260
manhattan,261
manhattan,262
manhattan,264
manhattan,265
manhattan,266
manhattan,269
manhattan,270
manhattan,272
manhattan,273
manhattan,274
manhattan,275
manhattan,278
manhattan,279
manhattan,280
manhattan,281
manhattan,283
manhattan,285
manhattan,286
manhattan,287
manhattan,291
manhattan,293
manhattan,294
manhattan,296
manhattan,297
manhattan,299
manhattan,300
manhattan,302
manhattan,304
manhattan,305
manhattan,306
manhattan,308
manhattan,309
manhattan,311
manhattan,312
manhattan,313
manhattan,314
manhattan,315
manhattan,316
manhattan,317
manhattan,318
manhattan,319
manhattan,320
manhattan,321
manhattan,323
manhattan,326
manhattan,327
manhattan,330
manhattan,331
manhattan,333
manhattan,334
manhattan,335
manhattan,336
manhattan,337
manhattan,339
manhattan,340
manhattan,341
manhattan,342
manhattan,343
manhattan,344
manhattan,345
manhattan,346
manhattan,347
manhattan,348
manhattan,349
manhattan,350
manhattan,351
manhattan,352
manhattan,353
manhattan,354
manhattan,356
manhattan,357
manhattan,358
manhattan,359
manhattan,360
manhattan,361
manhattan,362
manhattan,363
manhattan,364
manhattan,366
manhattan,368
manhattan,369
manhattan,370
manhattan,372
manhattan,374
manhattan,375
manhattan,376
manhattan,377
manhattan,378
manhattan,379
manhattan,380
manhattan,381
manhattan,382
manhattan,384
manhattan,385
manhattan,386
manhattan,387
manhattan,388
manhattan,390
manhattan,391
manhattan,392
manhattan,395
manhattan,396
manhattan,397
manhattan,398
manhattan,400
manhattan,402
manhattan,403
manhattan,405
manhattan,406
manhattan,407
manhattan,408
manhattan,409
manhattan,410
manhattan,411
manhattan,414
manhattan,416
manhattan,418
manhattan,419
manhattan,420
manhattan,421
manhattan,422
manhattan,423
manhattan,425
manhattan,426
manhattan,427
manhattan,429
manhattan,430
manhattan,432
manhattan,433
manhattan,434
manhattan,435
manhattan,437
manhattan,438
manhattan,439
manhattan,440
manhattan,442
manhattan,443
manhattan,448
manhattan,450
manhattan,452
manhattan,453
manhattan,454
manhattan,455
manhattan,458
manhattan,459
manhattan,460
manhattan,461
manhattan,462
manhattan,463
manhattan,465
manhattan,467
manhattan,468
manhattan,470
manhattan,471
manhattan,472
manhattan,474
manhattan,475
manhattan,476
manhattan,477
manhattan,478
manhattan,479
manhattan,480
manhattan,482
manhattan,483
manhattan,485
manhattan,486
manhattan,488
manhattan,494
manhattan,495
manhattan,497
manhattan,498
manhattan,499
manhattan,500
manhattan,504
manhattan,506
manhattan,507
manhattan,509
manhattan,510
manhattan,512
manhattan,514
manhattan,515
manhattan,516
manhattan,517
manhattan,519
manhattan,521
manhattan,523
manhattan,524
manhattan,525
manhattan,526
manhattan,528
manhattan,529
manhattan,530
manhattan,531
manhattan,532
manhattan,533
manhattan,534
manhattan,536
manhattan,537
manhattan,540
manhattan,541
manhattan,542
manhattan,543
manhattan,544
manhattan,546
manhattan,547
manhattan,548
manhattan,549
manhattan,551
manhattan,552
manhattan,553
manhattan,555
manhattan,556
manhattan,557
manhattan,558
manhattan,559
manhattan,560
manhattan,561
manhattan,563
manhattan,564
manhattan,565
manhattan,566
manhattan,568
manhattan,569
manhattan,570
manhattan,571
manhattan,573
manhattan,574
manhattan,575
manhattan,578
manhattan,581
manhattan,583
manhattan,584
manhattan,586
manhattan,587
manhattan,588
manhattan,590
manhattan,591
manhattan,592
manhattan,595
manhattan,596
manhattan,598
manhattan,600
manhattan,601
manhattan,602
manhattan,603
manhattan,604
manhattan,606
manhattan,612
manhattan,613
manhattan,615
manhattan,616
manhattan,617
manhattan,618
manhattan,619
manhattan,620
manhattan,621
manhattan,623
manhattan,626
manhattan,627
manhattan,629
manhattan,630
manhattan,631
manhattan,632
manhattan,633
manhattan,634
manhattan,635
manhattan,637
manhattan,638
manhattan,640
manhattan,642
manhattan,643
manhattan,644
manhattan,645
manhattan,648
manhattan,649
manhattan,650
manhattan,651
manhattan,652
manhattan,653
manhattan,655
manhattan,656
manhattan,657
manhattan,658
manhattan,659
manhattan,660
manhattan,661
manhattan,662
manhattan,663
manhattan,664
manhattan,665
manhattan,666
manhattan,668
manhattan,669
manhattan,670
manhattan,672
manhattan,674
manhattan,675
manhattan,677
manhattan,678
manhattan,679
manhattan,680
manhattan,682
manhattan,685
manhattan,686
manhattan,687
manhattan,688
manhattan,689
manhattan,690
manhattan,691
manhattan,692
manhattan,693
manhattan,695
manhattan,696
manhattan,697
manhattan,699
manhattan,701
manhattan,702
manhattan,704
manhattan,705
manhattan,706
manhattan,708
manhattan,709
manhattan,710
manhattan,711
manhattan,712
manhattan,713
manhattan,714
manhattan,715
manhattan,716
manhattan,717
manhattan,718
manhattan,720
manhattan,721
manhattan,723
manhattan,725
manhattan,730
manhattan,731
manhattan,732
manhattan,734
manhattan,735
manhattan,736
manhattan,738
manhattan,739
manhattan,740
manhattan,741
manhattan,742
manhattan,744
manhattan,746
manhattan,748
manhattan,749
manhattan,750
manhattan,751
manhattan,753
manhattan,754
manhattan,755
manhattan,756
manhattan,757
manhattan,759
manhattan,762
manhattan,764
manhattan,765
manhattan,766
manhattan,767
manhattan,769
manhattan,770
manhattan,771
manhattan,775
manhattan,778
manhattan,779
manhattan,780
manhattan,782
manhattan,785
manhattan,786
manhattan,787
manhattan,788
manhattan,789
manhattan,790
manhattan,793
manhattan,794
manhattan,795
manhattan,796
manhattan,798
manhattan,799
manhattan,800
manhattan,803
manhattan,804
manhattan,805
manhattan,806
manhattan,807
manhattan,809
manhattan,810
manhattan,812
manhattan,813
manhattan,814
manhattan,815
manhattan,816
manhattan,818
manhattan,821
manhattan,822
manhattan,823
manhattan,824
manhattan,826
manhattan,828
manhattan,829
manhattan,830
manhattan,832
manhattan,833
manhattan,834
manhattan,835
manhattan,836
manhattan,837
manhattan,840
manhattan,841
manhattan,842
manhattan,843
manhattan,844
manhattan,845
manhattan,846
manhattan,847
manhattan,848
manhattan,849
manhattan,850
manhattan,851
manhattan,852
manhattan,855
manhattan,856
manhattan,857
manhattan,859
manhattan,861
manhattan,863
manhattan,864
manhattan,865
manhattan,866
manhattan,867
manhattan,868
manhattan,869
manhattan,871
manhattan,872
manhattan,873
manhattan,874
manhattan,876
manhattan,877
manhattan,878
manhattan,880
manhattan,886
manhattan,888
manhattan,889
manhattan,890
manhattan,892
manhattan,893
manhattan,894
manhattan,895
manhattan,896
manhattan,897
manhattan,898
manhattan,899
manhattan,900
manhattan,901
manhattan,902
manhattan,904
manhattan,905
manhattan,906
manhattan,907
manhattan,908
manhattan,909
manhattan,910
manhattan,913
manhattan,914
manhattan,915
manhattan,919
manhattan,920
manhattan,922
manhattan,923
manhattan,924
manhattan,925
manhattan,927
manhattan,928
manhattan,929
manhattan,930
manhattan,931
manhattan,932
manhattan,933
manhattan,934
manhattan,935
manhattan,936
manhattan,937
manhattan,938
manhattan,939
manhattan,940
manhattan,941
manhattan,943
manhattan,945
manhattan,946
manhattan,947
manhattan,948
manhattan,949
manhattan,950
manhattan,952
manhattan,953
manhattan,954
manhattan,955
manhattan,956
manhattan,957
manhattan,958
manhattan,959
manhattan,960
manhattan,962
manhattan,963
manhattan,964
manhattan,965
manhattan,966
manhattan,968
manhattan,969
manhattan,971
manhattan,972
manhattan,973
manhattan,975
manhattan,977
manhattan,978
manhattan,979
manhattan,981
