city,global_index
manhattan,39437
manhattan,1244
manhattan,40376
manhattan,35898
manhattan,46873
manhattan,44044
manhattan,30949
manhattan,31437
manhattan,51253
manhattan,16909
manhattan,37003
manhattan,43368
manhattan,13007
manhattan,43444
manhattan,21516
manhattan,51877
manhattan,5168
manhattan,30365
manhattan,39578
manhattan,32970
manhattan,10980
manhattan,21223
manhattan,47141
manhattan,119
manhattan,47019
manhattan,29444
manhattan,29366
manhattan,4063
manhattan,19113
manhattan,14176
manhattan,20618
manhattan,46960
manhattan,18062
manhattan,44229
manhattan,5698
manhattan,46106
manhattan,32228
manhattan,19880
manhattan,40418
manhattan,32666
manhattan,52050
manhattan,54461
manhattan,39393
manhattan,5875
manhattan,47511
manhattan,5161
manhattan,42271
manhattan,43757
manhattan,11345
manhattan,39263
manhattan,43561
manhattan,50319
manhattan,41287
manhattan,2239
manhattan,5615
manhattan,5814
manhattan,19219
manhattan,27120
manhattan,20279
manhattan,3078
manhattan,47406
manhattan,22184
manhattan,6500
manhattan,4233
manhattan,31094
manhattan,17755
manhattan,32452
manhattan,36266
manhattan,12488
manhattan,1950
manhattan,27922
manhattan,3819
manhattan,55523
manhattan,13619
manhattan,46945
manhattan,4007
manhattan,10896
manhattan,3398
manhattan,46999
manhattan,37624
manhattan,35959
manhattan,52364
manhattan,39410
manhattan,21530
manhattan,43175
manhattan,14484
manhattan,16395
manhattan,11319
manhattan,27237
manhattan,23939
manhattan,25912
manhattan,13377
manhattan,48881
manhattan,18075
manhattan,38060
manhattan,1612
manhattan,53469
manhattan,42609
manhattan,12318
manhattan,3252
manhattan,3154
manhattan,54762
manhattan,8130
manhattan,50991
manhattan,14713
manhattan,45213
manhattan,26151
manhattan,28747
manhattan,36377
manhattan,14357
manhattan,44214
manhattan,19122
manhattan,33464
manhattan,49045
manhattan,12375
manhattan,39976
manhattan,14723
manhattan,6714
manhattan,36203
manhattan,51551
manhattan,38648
manhattan,34208
manhattan,20053
manhattan,7673
manhattan,254
manhattan,4881
manhattan,30310
manhattan,24221
manhattan,2290
manhattan,20176
manhattan,683
manhattan,43858
manhattan,3296
manhattan,37420
manhattan,47096
manhattan,21851
manhattan,41444
manhattan,14388
manhattan,2273
manhattan,36915
manhattan,49937
manhattan,46240
manhattan,17967
manhattan,48663
manhattan,38123
manhattan,1153
manhattan,28592
manhattan,13846
manhattan,38778
manhattan,39018
manhattan,19992
manhattan,15247
manhattan,4200
manhattan,3214
manhattan,28744
manhattan,44030
manhattan,42019
manhattan,12682
manhattan,40966
manhattan,6833
manhattan,2655
manhattan,26272
manhattan,37789
manhattan,21767
manhattan,23350
manhattan,24163
manhattan,55271
manhattan,23717
manhattan,28596
manhattan,37216
manhattan,49471
manhattan,3377
manhattan,51821
manhattan,46979
manhattan,5820
manhattan,43634
manhattan,21466
manhattan,38929
manhattan,5420
manhattan,18183
manhattan,44392
manhattan,44100
manhattan,40684
manhattan,27387
manhattan,50352
manhattan,29027
manhattan,17976
manhattan,41058
manhattan,50449
manhattan,38917
manhattan,46455
manhattan,31688
manhattan,42105
manhattan,32714
manhattan,36781
manhattan,42443
manhattan,13194
manhattan,10256
manhattan,32265
manhattan,37984
manhattan,3555
manhattan,22312
manhattan,40615
manhattan,1631
manhattan,45560
manhattan,16795
manhattan,48687
manhattan,24563
manhattan,31958
manhattan,5759
manhattan,35956
manhattan,6916
manhattan,47525
manhattan,30056
manhattan,27395
manhattan,42227
manhattan,46170
manhattan,41686
manhattan,2785
manhattan,44246
manhattan,29534
manhattan,48233
manhattan,5182
manhattan,12107
manhattan,21080
manhattan,28176
manhattan,43059
manhattan,46971
manhattan,52868
manhattan,22007
manhattan,32885
manhattan,8435
manhattan,8278
manhattan,26213
manhattan,33130
manhattan,2574
manhattan,27822
manhattan,27898
manhattan,5604
manhattan,12131
manhattan,32704
manhattan,27714
manhattan,28588
manhattan,20180
manhattan,582
manhattan,20507
manhattan,25171
manhattan,52699
manhattan,41742
manhattan,55028
manhattan,34882
manhattan,48287
manhattan,28694
manhattan,23355
manhattan,44633
manhattan,34152
manhattan,35183
manhattan,25592
manhattan,23042
manhattan,7560
manhattan,31863
manhattan,33705
manhattan,1951
manhattan,20233
manhattan,52082
manhattan,23047
